"Reported","State","Changing","Chevron","Cigar","Circle","Cone","Cross","Cylinder","Diamond","Disk","Egg","Fireball","Flash","Formation","Light","Other","Oval","Rectangle","Sphere","Teardrop","Triangle","Unknown"
"Aug 2014","AK","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","1","0","0","0","0","0"
"Aug 2014","AL","0","0","0","0","0","0","0","0","0","0","0","1","0","3","0","0","0","1","0","0","0"
"Aug 2014","AZ","0","0","0","1","0","0","0","0","1","0","2","1","1","3","1","0","0","0","0","1","1"
"Aug 2014","CA","3","0","4","9","0","0","1","1","1","0","7","2","2","21","4","2","5","2","1","4","5"
"Aug 2014","CO","1","0","0","3","0","0","0","0","0","0","1","0","0","2","2","2","0","3","0","1","2"
"Aug 2014","CT","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","1","1","0","0","1","2"
"Aug 2014","DC","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"Aug 2014","DE","0","0","0","2","0","0","0","0","0","0","2","0","2","0","0","1","0","0","0","1","2"
"Aug 2014","FL","0","0","1","10","0","0","2","0","5","1","11","0","1","10","3","0","0","0","0","2","3"
"Aug 2014","GA","1","0","1","5","1","0","0","0","0","0","2","2","0","4","2","0","2","0","0","1","1"
"Aug 2014","HI","0","0","0","0","0","0","0","0","0","0","0","0","0","9","0","0","0","0","0","0","0"
"Aug 2014","IA","0","1","0","3","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0"
"Aug 2014","ID","0","0","0","0","0","0","0","0","0","0","1","0","1","5","0","0","0","0","0","0","1"
"Aug 2014","IL","1","0","0","4","0","0","0","1","0","0","2","1","0","0","1","0","0","1","0","1","4"
"Aug 2014","IN","0","0","0","0","0","0","1","0","0","0","0","0","0","2","0","1","0","0","0","0","0"
"Aug 2014","KS","0","0","0","0","0","0","0","1","1","0","1","0","0","3","1","0","0","1","0","1","1"
"Aug 2014","KY","0","0","0","1","0","0","0","1","1","0","0","0","0","3","0","0","1","0","0","0","2"
"Aug 2014","LA","0","0","0","1","0","0","0","0","1","0","2","0","0","6","1","0","0","0","0","0","1"
"Aug 2014","MA","1","0","2","7","0","0","1","1","1","0","2","1","1","6","1","2","1","1","0","0","3"
"Aug 2014","MD","1","0","0","1","0","0","1","0","0","0","3","0","2","3","0","0","1","1","0","2","1"
"Aug 2014","ME","0","0","0","1","0","0","0","0","0","0","0","0","0","3","0","1","0","0","0","0","1"
"Aug 2014","MI","0","0","0","3","0","1","0","0","0","0","2","0","2","3","1","1","0","2","0","2","4"
"Aug 2014","MN","0","0","0","0","0","0","0","0","1","0","0","0","0","3","1","0","0","0","0","0","1"
"Aug 2014","MO","0","0","0","3","0","0","0","1","1","0","1","0","0","5","0","0","0","1","0","1","3"
"Aug 2014","MS","0","0","0","1","0","0","0","0","0","0","3","0","0","1","0","0","0","0","0","1","0"
"Aug 2014","MT","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","1","1"
"Aug 2014","NC","2","0","0","13","0","0","0","1","1","0","6","0","1","6","0","1","0","1","0","0","5"
"Aug 2014","NE","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","1","1","0","2"
"Aug 2014","NH","0","0","0","1","0","1","0","0","0","0","0","0","1","4","0","0","0","0","0","1","0"
"Aug 2014","NJ","0","0","0","5","0","0","0","0","1","0","3","0","0","5","1","1","0","3","0","1","1"
"Aug 2014","NM","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"Aug 2014","NV","0","0","0","0","0","0","0","0","0","0","0","2","0","0","1","1","0","1","0","0","0"
"Aug 2014","NY","1","0","0","8","0","0","0","1","2","0","16","0","2","12","4","1","0","1","0","2","2"
"Aug 2014","OH","0","1","0","1","0","1","1","0","0","0","3","0","3","6","2","2","0","1","1","2","0"
"Aug 2014","OK","0","0","0","4","0","0","0","0","0","0","0","0","1","3","1","0","0","0","0","4","2"
"Aug 2014","OR","1","0","0","6","0","0","0","0","1","0","2","1","0","4","3","3","0","0","0","4","3"
"Aug 2014","PA","0","0","1","11","0","0","0","0","2","0","7","1","1","11","1","1","2","3","0","4","3"
"Aug 2014","RI","0","0","0","0","0","0","1","0","0","0","2","0","0","0","0","1","0","0","0","0","0"
"Aug 2014","SC","1","0","0","5","0","0","0","1","0","0","4","0","0","4","1","2","2","3","0","2","0"
"Aug 2014","SD","0","0","0","2","0","0","0","0","0","0","0","0","0","3","0","0","0","0","1","0","0"
"Aug 2014","TN","0","0","0","3","0","0","1","1","1","0","3","0","1","3","0","1","0","0","0","0","2"
"Aug 2014","TX","0","0","0","5","1","0","0","0","0","0","2","0","0","12","0","0","2","1","0","4","1"
"Aug 2014","UT","1","0","0","1","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","1","3"
"Aug 2014","VA","0","1","1","2","0","0","0","0","0","0","4","0","0","3","0","0","0","0","0","2","0"
"Aug 2014","VT","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","0"
"Aug 2014","WA","0","0","1","3","0","0","0","1","1","1","4","0","3","13","1","1","0","4","0","0","0"
"Aug 2014","WI","0","0","1","4","0","0","0","1","1","0","9","0","0","8","0","1","0","0","0","2","0"
"Aug 2014","WV","0","0","0","2","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0"
"Aug 2014","WY","0","0","0","0","1","0","0","0","0","0","0","0","0","1","1","0","0","0","1","1","0"
"Sep 2014","AK","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0"
"Sep 2014","AL","0","0","1","1","0","0","0","0","0","1","0","0","0","5","0","0","0","0","0","0","1"
"Sep 2014","AR","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0"
"Sep 2014","AZ","2","0","0","2","0","0","0","1","0","0","5","0","0","2","1","1","0","0","0","4","4"
"Sep 2014","CA","1","1","1","5","0","0","3","2","3","1","4","3","0","14","4","1","0","6","0","1","5"
"Sep 2014","CO","0","0","0","3","0","0","1","0","1","0","1","0","1","5","1","1","0","2","1","0","0"
"Sep 2014","CT","0","0","0","1","0","0","0","0","0","0","2","0","0","2","0","0","0","1","0","0","0"
"Sep 2014","DE","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"Sep 2014","FL","0","1","0","5","0","0","2","0","1","1","2","0","0","7","1","1","0","2","1","3","4"
"Sep 2014","GA","1","0","1","1","0","0","1","0","0","0","1","1","3","1","1","0","0","1","0","0","1"
"Sep 2014","HI","0","0","0","2","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0"
"Sep 2014","IA","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","1","0","0","0","0","0"
"Sep 2014","ID","0","0","0","1","0","0","0","0","0","0","2","0","0","5","0","1","0","1","0","0","3"
"Sep 2014","IL","0","0","0","2","0","0","0","0","0","0","1","0","0","4","0","0","1","1","0","0","0"
"Sep 2014","IN","0","0","0","0","0","0","0","0","1","0","0","1","0","1","1","0","0","0","0","0","0"
"Sep 2014","KS","1","0","0","0","0","0","0","1","1","0","0","0","0","1","0","0","0","0","1","1","2"
"Sep 2014","KY","0","0","0","1","0","0","0","0","1","0","0","0","0","1","1","0","0","0","0","2","0"
"Sep 2014","LA","1","0","1","1","0","0","0","0","0","0","0","0","1","1","1","0","0","0","1","2","1"
"Sep 2014","MA","1","0","0","1","0","0","0","0","0","0","2","0","1","8","0","0","1","3","0","0","1"
"Sep 2014","MD","1","0","0","1","0","0","0","0","0","0","0","0","0","8","0","0","0","1","2","0","1"
"Sep 2014","ME","0","0","0","0","0","0","0","1","1","0","1","0","0","0","0","0","0","0","0","0","0"
"Sep 2014","MI","0","0","0","3","0","0","0","0","0","1","0","0","0","3","1","0","0","1","0","1","0"
"Sep 2014","MN","0","0","0","0","0","0","0","0","1","0","1","0","1","0","0","0","0","0","0","0","3"
"Sep 2014","MO","0","0","0","1","0","0","0","1","0","0","0","0","0","3","0","1","0","0","0","1","0"
"Sep 2014","MS","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","1","0"
"Sep 2014","MT","0","0","0","1","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0"
"Sep 2014","NC","0","0","0","2","0","0","0","0","0","0","1","0","0","3","0","1","0","3","0","1","0"
"Sep 2014","ND","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0"
"Sep 2014","NE","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1"
"Sep 2014","NH","0","0","1","0","0","0","0","0","0","0","1","1","0","1","0","0","0","0","0","1","2"
"Sep 2014","NJ","0","0","0","1","0","0","0","1","0","0","1","0","0","2","0","1","0","1","0","1","1"
"Sep 2014","NM","0","0","0","7","0","0","0","0","1","0","0","1","1","4","0","0","0","0","1","2","1"
"Sep 2014","NV","2","0","0","0","0","0","0","0","0","0","1","0","0","2","1","0","0","1","0","0","1"
"Sep 2014","NY","1","0","0","4","0","0","1","0","1","1","4","2","0","5","2","1","1","1","0","2","2"
"Sep 2014","OH","2","0","0","3","0","2","0","1","0","0","2","1","0","2","2","1","0","0","0","5","2"
"Sep 2014","OK","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","2","1"
"Sep 2014","OR","0","0","0","1","0","0","1","0","0","0","3","1","0","1","0","0","0","1","0","1","2"
"Sep 2014","PA","1","0","1","3","0","0","0","0","2","1","8","2","0","10","1","0","0","0","0","4","2"
"Sep 2014","SC","0","0","0","1","0","0","0","1","0","0","2","0","0","2","0","0","0","0","0","1","1"
"Sep 2014","SD","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0"
"Sep 2014","TN","0","0","1","1","0","0","0","0","0","0","0","0","0","1","1","1","0","1","0","1","2"
"Sep 2014","TX","2","1","1","3","0","0","0","1","1","0","0","0","0","2","4","0","0","0","0","1","0"
"Sep 2014","UT","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Sep 2014","VA","0","0","1","2","0","0","0","0","1","0","0","0","1","1","0","0","0","1","0","1","0"
"Sep 2014","VT","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"Sep 2014","WA","1","0","0","5","0","0","0","2","1","1","3","0","1","11","0","2","1","3","1","3","2"
"Sep 2014","WI","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","1"
"Sep 2014","WV","0","0","0","2","0","0","1","1","0","0","0","0","0","1","0","0","1","0","0","0","0"
